year,LAI_corr3_round,valid_surface_sqm
1999,1.53,89204126905549.77
2000,1.52,89204126905549.77
2001,1.51,89204126905549.77
2002,1.5,89204126905549.77
2003,1.53,89204126905549.77
2004,1.56,89204126905549.77
2005,1.57,89204126905549.77
2006,1.57,89204126905549.77
2007,1.55,89204126905549.77
2008,1.56,89204126905549.77
2009,1.58,89204126905549.77
2010,1.59,89204126905549.77
2011,1.58,89204126905549.77
2012,1.56,89204126905549.77
2013,1.59,89204126905549.77
2014,1.61,89204126905549.77
2015,1.61,89204126905549.77
2016,1.63,89204126905549.77
2017,1.67,89204126905549.77
2018,1.65,89204126905549.77
2019,1.62,89204126905549.77
2020,1.66,89204126905549.77
2021,1.67,89204126905549.77
2022,1.61,89204126905549.77
2023,1.6,89204126905549.77
2024,1.59,89204126905549.77
